Farm Name,County,Date Founded,Special Recognition
Campbell Farm,Maury,1895,
Campbell Farm,Claiborne,1876,
Canada & Green Farm,Macon,1907,
Canaday Brothers Farm,McNairy,1848,
Cannon Crews Farm,Henry,1854,
Cannon Farm,Williamson,1842,
Caplenor Farm,Smith,1906,
Captain William Harris Farm,Wilson,1804,
Carden Farm,Coffee,1839,
Cardwell Farm,Claiborne,1884,
Carlton,Weakley,1844,
Carlton-Warren Homestead,Haywood,1836,
Carmack Farm,Overton,1860,
Carothers Farm,Hickman,1851,
Carr Creek Carr Farm,Macon,1797,
Carrell Farm,Lawrence,1874,
Carrington Farm,Henderson,1912,
Carroll-Richards Farm,Gibson,1886,
Carter Farm,Benton,1879,
Carter Farm,White,1826,
Carter Farm,Wilson,1840,
Carter Farm,Henry,1897,
Carter Farms,Polk,1875,
Carter-Miller Farm,Wilson,1898,
Cartwright-Russell Farm,Smith,1832,
Carverdale Farm,Jackson,1890,
Cash Valley Farm,Hickman,1884,
Cassetty Farms,Wilson,1886,
Castellaw Corner Farm,Haywood,1903,
Castleman-Smith Farm,Davidson,1896,
Castles-McCalla Farm,Shelby,1875,
Castlewood,Rutherford,1889,
Cates Farm,Rutherford,1846,NR
Cates Farm,Cannon,1844 c.,
Cathey Family Farm,Maury,1788,
Catlett Farm I,Sevier,1908,
Catlett Farm II,Sevier,1908,
Catpaw Farm,Wilson,1847,
Catron Farm,Obion,1853,
Cave Spring Farm,Giles,1893,
Cawood Farm,Rhea,1848,
Cawthon Farm,Dyer,1863,
Cedar Acres,Wilson,1847,
Cedar Bluff Farm,Putnam,1822,
Cedar Creek Farm,Williamson,1888,
Cedar Hill Farm,Jefferson,1899,
Cedar Hill Farms,Tipton,1852,
Cedar Lake Beef Farm,Rhea,1845,
Cedar Lane Farm,Monroe,1850,
Cedar Lane Stables,Fayette,1850,
Cedar Stone Farm,Jackson,1847,
Cedar View Farm,Sullivan,1788,Pioneer Century Farm
Centuryolde Farm,Washington,1833,
Chambers Farm,Wilson,1847,
Chance Farm,Carroll,1865,
Charlie and Flora Hire Farm,Macon,1909,
Chastain Farm,Warren,1818,
Chatata Valley Heritage Farms,Bradley,1832,
Chattin Farm,Rhea,1853,
Cherokee T. Farm,Wilson,1902,
Cherry Farm,Clay,1910,
Cherry Farm,Crockett,1850,
Cherry Hill Farm,Crockett,1836,
Chesnutt Farm,McMinn,1870,
Chestnut Hill,Fayette,1830,
Childress Farm,Dyer,1906,
Childress Farm,Lincoln,1826,
Chitwood Farm,Scott,1813,
Christian Farm,Wilson,1834,
Chumley River Farm,Claiborne,1873,
Circle A Ranch--Ashe Farm,McNairy,1911,
Circle A Ranch--Boyd Farm,McNairy,1908,
Circle A Ranch--Robinson Farm,Hardin,1891,
Circle G Farm,Robertson,1910,
Circle J. Farm,Hawkins,1796,Pioneer Century Farm
Circle K Farms,Marshall,1853,
Clark Farm,Jackson,1853,
Clark Farm,Carroll,1840,
Claude Anderson Farm,Coffee,1905,
Claybrook Farm,Madison,1898,
Clayton Upchurch Farm,Fentress,1847,
Clearview Farm,Macon,1863,
Clemmons Farm,Wilson,1880,
Clendenin Legacy Farm,Henry,1865,
Clendennan's Branch Farm,Smith,1852,
Clendennan's Branch Farm (2),Wilson,1868,
Cleveland Farm,Giles,1916,
Cleveland Hall,Davidson,1785,Pioneer Century Farm
Clifton Manor,Cheatham,1884,
Cliftwood Farm,Tipton,1833,
Clinard Cattle Company,Robertson,1849,
Clinard Farm,Robertson,1825,
Clinchview Acres Farm,Hancock,1833,
Clinton Evans Farms,Haywood,1879,
Clouse-Elrod Farm,Coffee,1915,
Cloverdale I & II,Smith,1812,
Cloydland,Wilson,1789,NR Pioneer Century Farm
Cobble Creek Angus Farm,Greene,1838,
Coburn Farm,Madison,1875,
Colbaugh Farm,Carter,1880,
Cold Springs Farm,Robertson,1893,
"Cold Springs Farm, Walker-Shanks",Washington,1901,
Cole Family Farm,Sumner,1905,
Coleman Place Farm,Lincoln,1856,
Collier Farm,Jackson,1873,
Collier Farm,Weakley,1867,
Comer Farm,Wilson,1882,
Conger Farm,Lincoln,1808,
Conkin-Hite Farm,Sullivan,1910,
Conley Farm,White,1903,
Conyers Farm,Crockett,1904,
Cook's Hill Farm,Wilson,1881,
Cook's Seldom Rest Farm,Robertson,1869,
Cook's Stokes Farm,Dickson,1860,
Cooley Farm,Roane,1825,
Coon Creek Cattle Farm,Perry,1870,
Cooper Farm,Fentress,1835,
Cooper Farm,Cannon,1902,
Copas-Craighead Farm,Clay,1849,
Corlew Farm,Montgomery,1847,
Corley Farm,DeKalb,1815,
Corona Farm,Tipton,1836,
Cothran Farm on Buffalo River,Lewis and Wayne,1899,
Cotton Hill Farm,Crockett,1845,
Country Acres Farm,Blount,1900,
Country Wood,Gibson,1848,Woman Founder
County Line Farm,Davidson,1869,
Cox Family Farm,Benton,1863,
Cox Farm,Union,1864,
Cox Farm,Henry,1881,
Crabtree Farms,McMinn,1855,
Crack Hill Farm,Giles,1809,
Crafton Farm,Haywood,1831,
Cragwall Bottoms,Wilson,1849,
Cragwall Farm,Wilson,1849,
Craig Farm,Lincoln,1835,
Craig Farm,Marshall,1860,
Crawford Farm,Overton,1824,
Crawford Farm (Old Walker Place),Fayette,1849,NR
Crawley Family Farm,Decatur,1835,
Cream Valley Farm,Overton,1894,
Creecy Farm,Giles,1904,
Creekside Farm,Johnson,1884,
Creekside Farm,McMinn,1854,
Crestview,Williamson,1922,
Crews Farm,Lawrence,1865,
Crimson Lea Farm,Cannon,1910,
Crisp Farm,Gibson,1881,Woman Founder
Crisp Farms,McMinn,1919,
Crosby Spring Farm,Rhea,1879,
Cross Bridges Farm,Maury,1810,
Crouch-Ramsey Farm,Coffee,1901,
Crowder Farm,White,1826,
Crowell Hill Farms,Wilson,1916,
Crownover,Franklin,1880,
Crownover Cove,Franklin,1837,
Crum Farm,Greene,1872,NR
Crum Farm,Carroll,1906,
Crystal Valley Farms,Williamson,1869,
Culp Farm,Crockett,1911,
Cummins Mill Farm,Jackson,1823,
Cunningham Farm,Blount,1830,
Cunningham Farm,Wilson,1808,
Curl Farm,Grainger,1873,
Curry Farms Bethel,Giles,1883,
Cypress Creek Farm,Benton,1849,NR
Cypress Creek Farm,Crockett,1890,
Dake Farm (aka Willow Oaks),Meigs,1885,
Daniel Farm in Narrow Valley Community,Grainger,1905,
Daniel-Hummel Farm,Clay,1910,
Daniel's Dairy Farm,Dickson,1861,
Darnell Farm,Anderson,1799,
Davenport Farm,Warren,1850,
Davidson Farm,Gibson,1896,
Davie Haun Farm,Hamblen,1900,
Davis Farm,Smith,1827,
Davis Farm,Blount,1835,
Davis Farm,Blount,1867,
Davis Farm,Bledsoe,1905,
Davis Farms,Henderson,1851,
Daws Farm,Henderson,1907,
Delap Farm,Lincoln,1912,
Dement Home Place,Bedford,1897,
Denney Farm,Wilson,1908,
Dennis Davis Farm,Weakley,1901,
Denton Farm,Sullivan,1793,Pioneer Century Farm
Dew Slide H Ranch,Wayne,1918,
Dickinson-Lonon Farm,Haywood,1900,
Dickson Farm,Hardin,,
Dickson Farm,Montgomery,1868,
Dicus Place,Wayne,1851,
Diggs Farm,Henry,1905,
Dillard Brooks Farm,Weakley,1863,
Dillard Farm,Wilson,1897,
Dillard Farms,Robertson,1873,
Dillow Farm,Washington,1916,
Dix Farm,Trousdale,1916,African-American Founder
Dixie Farm,White,1869,
DKM Farm,Cannon,1907,
Doane Brothers Farm,Knox,1913,
Dobbs Family Farm,Hawkins,1856,
Dobson Farm,Wilson,1803,
Dodd Farm,Hardin,1893,
Dodson Farm,Overton,1858,
Dodson Farm at Beech Cove,Van Buren,1812,
Dogwood Farm,Claiborne,1883,
Donald Norrod Farm,Overton,1913,
Donaldson Terry Farm,Clay,1847,
Donnell Farm,Madison,1825,
Donnell Farm,Wilson,1893,
Dorris Farms,Robertson,1912,
Doss Farm,Macon,1904,
Doty Farm,Greene,1783,Pioneer Century Farm
Double D Farms,Dyer,1888,
Double E Farm,Lewis,1845,
Double S Farm,Rhea,1868,
Dougan-Hall Farm,Madison,1904,
Douglas Farm,Lincoln,1830,
Douglass Farms,Sumner,1840,
Dowland Farm,Gibson,1839,
Dowland-Hall Farm,Gibson,1890,
Downing-Burke Farm,Cannon,1912,
Drake Farm,Rutherford,1857,
Drake Farm,Sumner,1876,African American
Draper Angus Farm,Putnam,1916,
Drennan-McMendway Farm,Wilson,1800,
Drewery Farm (see Key Farm),Obion,1855,
Driver Farm,Tipton,1843,
Dromoland,Wilson,1836,
Drury Farm,Macon,1835,
Dry Fork Farm,Sevier,1915,
Dudley Farm,Wilson,1891,
Dugger Farm,Giles,1855,
Duggin Farm,Rutherford,1815,
Duggin Farm,Cannon,1894,
Duke Family Farm,Shelby,1924,
Dull Farm,Dickson,1885,
Dupree Farms,Crockett,1917,
Duren Farm,Wayne,1859,
Dutch Valley Farms,Grainger,1891,
Dwight L. Bundy Farm,Cocke,1907,
E. Parkinson Farm,McMinn,1826,
E.A. Cuff Farm,Benton,1847,
E.C. Bell Farm,Unicoi,1854,
E.D.R. Farm,Giles,1871,
E.O. McNabb Farm,Meigs,1869,
E.S. Williams Farm,Rutherford,1867,
Earhart Farm,Sullivan,1860,
Earl Black Farm LLC,Monroe,1820,
Earley Farm,Greene,1880,
East View Farm,Franklin,1875,
Easterly Farm,Greene,1796,Pioneer Century Farm
Eastes Dairy/Happy Valley Farm,Wilson,1920,
Eastes Farm,Smith,1845,
Eatherly Crowell Farm,Wilson,1916,
Echo Acres Farm,Claiborne,1865,
Ed Bass Sons Farm,Giles,1904,
Ed Sumara Farm,Lake,1870,
Edgeman Brothers Farm,Roane,1829,
Edgen Hills,Cheatham,1879,
Edgman Farm,Henry,1850,
Edwin Elliott Farm,Montgomery,1884,
Elcaney Acres,Hawkins,1884,
Eldridge Farm,Loudon,1798,
Elijah Duncan Cherokee Hills Farm,Perry,1848,
Elk River Sartain Farm,Grundy,1846,
Elliott Farm,Dickson,1879,
Elliott Farm,Montgomery,1869,
Ellis Farm,Robertson,1881,
Ellis Farm,Rhea,1894,
Ellis Farm,Marion,1912,
Ellison-Webb Farm,Jefferson,1907,
Elm Circle Farm,Sullivan,1860,
Elmwood,Greene,1777,NR Pioneer Century Farm
Elmwood Farm,Rutherford,1815,
Elmwood Farm,Madison,1856,
Elrie Brinkley Farm,Bedford,1902,
England Farm,Dickson,1899,
England Farm,Claiborne,1872,
"English ""Old Homeplace"" Farm",Lincoln,1867,
English Family Farm,Lincoln,1867,
Ernest Yates Farm,Robertson,1906,
Ervin,Weakley,1885,
Estanaula Oaks,Fayette,1853,
Everett Farm,Wilson,1907,
Everett Farm,Wilson,1858,
Evergreen Farm,Stewart,,
F & W Farm,Chester,1893,
F. F. Crawley and Sons Farms,Decatur,1835,
F. M. Gore Farm,Overton,1868,
Fair Meadows Farm,Hardeman,1880,
Fairdale,Anderson,1851,
Fairview Farm,Jefferson,1894,
Fanning Farm,Lincoln,1889,
Farley Farm,Smith,1900,
Farley Place,Fayette,1882,
Farrar Farm,Bedford,1851,
Felts Hill Farm,Houston,1867,
Ferguson Farm,Monroe,1831,
Fergusson Farm,Trousdale,1800,
Fermanagh-Ross Farm,Greene,1870,
FFF Farms,Jefferson,1920,
Fielden Heritage Farm,Jefferson,1897,
Finchum Farm,Jefferson,1910,
Fiser-Jackson Farm,Dickson,1900,
Fisher-Wells Farm,Robertson,1882,
Five Springs,Greene,1870,
Fleenor Farm,Sullivan,1884,
Fleming Farm,Tipton,1884,
Fleming Farm,Sevier,1919,
Flint River Farm/Simms-Delap Families,Lincoln,1893,
Flippin Farms,Gibson,1846,
Flippin-Castles Farm,Shelby,1903,
Florance Terry- Carter Farm,Smith,1867,
Flowers Farm,Gibson,1860,
Floyd Farm,Sevier,1865,
Flynn Walker Farm,Blount,1879,
Fogg Hollow Farm,Hickman,1894,
Forest Home Farms,Maury,1845,
Fortner Farm,Claiborne,1873,
Foster Farm,Obion,1858,
Foster Farm,Giles,1832,
Foster Farm,Dickson,1916,
Foulks (Hutchinson) Farm,Obion,1866,
Four Hills Farm,Hickman,1880,
Four J Farm,Macon,1804,
Fowler Farm,Monroe,1824,
Fowler-Lenoir Farm,Monroe,1824,
Fox Family Farm,Hickman,1918,
Fox Farm,Maury,1922,Woman Founder
Fox Horn Hill,Sumner,1790,
Fox Run Farm,Bedford,1890,
Foxridge Farm,Dyer,1847,
Foxwood Farms,Wilson,1828,
Frances H. Wade Farm,Obion,1853,
Frank Hutsell Farm,McMinn,1844,
Frank Niedergeses Farm,Lawrence,1871,
Franklin Farm,Lincoln,1860,
Frazier Farm,Jefferson,1834,
Fred O. McMahan Farm,Sevier,1838,
Freeland Farm,Robertson,1908,
Freeman & Powell Farms,Lake,1892,
Freeman and Sons' Farm,Weakley,1873,
Freeman Farms,Weakley,1866,
Freeman Farms(father & son*),Weakley,1866,
Freeze Farm,Coffee,1902,
Friedman Farm,Haywood,1904,
Friendship Acres Farm,Giles,1896,
Frog Jump Farm,Crockett,1827,
Frost Farm,Dyer,1857,
Fudge Farm,Hawkins,1852,
Fugate Farm,Claiborne,1845,
Full Circle Farms,Overton,1885,
Fuller Homeplace Farm,Marshall,1811,
Fussell Farm,Dickson,1880,
G & M Farm,Grainger,1841,
G.C. Pop Salmon Farm,Henry,1902,
G.R. Davis Farm,Montgomery,1869,
Gaines (Humphreys') Flower Farm,Shelby,1870,
Galloway Farm,Washington,1801,
Galloway Farm,Rhea,1899,
Gamble Farm at Cotts Creek,Lawrence,1918,
Gamewell Farm,Rutherford,1884,
Gang Farm,Lawrence,1878,
Garrett Farm,Sumner,1820,
Garrett Farm/Heart of Vine,Wilson,1902,
Garrondale Farm,Bedford,1820,
Gauldin Farm,Dyer,1847,
Gentry Farm,Williamson,1887,
George Alexander Cunningham and Troy Judson Cunningham Farm,Wilson,1915,
George Cope Place,Warren,1910,
George Davis Farm,Blount,1871,
George Stack Farm,Cheatham,1920,
German,Williamson,1799,
Gibbs Farm,Smith,1875,
Gibson Boys Farm,Gibson,1837,
Gid Kyle Farm,Trousdale,1908,
Giffin Farms,Obion,1894,
Gillespie Farm,Sumner,1787,Pioneer Century Farm
Gillespie Shady Acres Farm,Wilson,1883,
Gladestone Farm (Ruth-E Farm),Marshall,1783,Pioneer Century Farm
Glaze Farm,McMinn,1830,
Gleghorn Farms,Lincoln,1833,
Glen Simpson Farm,Monroe,1821,
Glenn Acres,Williamson,1783,Pioneer Century Farm
Glenn Farm,Shelby,1870,
Goad Farm,Macon,1903,
Goddard Mountain Farm,White,1873,
Godwin Farm,Perry,1891,
Golden Hollow Farms,Lincoln,1893,
Goldsby Farm,Shelby,1830,
Gooch Farm,Rutherford,1805,
Gooch Farm,Giles,1884,
Good Farms,Lincoln,1924,
Goode Farm,Crockett,1908,
Gordon Farm,Rutherford,1866,
Grady Elliot Farm,Franklin,1911,
Grandstaff Farms,Wilson,1887,
Grant Farm,Montgomery,1888,
Grant Gait Farms,Hardeman,1880,
Grant Glaze Farm,McMinn,1826,
Grapeton Farm,Sevier,1866,
Grass Dale Farm,Sullivan,1856,
Grassy Branch Farm,Rhea,1904,
Graves Farm,Union,1882,
Graves/Wright Farm,Wilson,1839,
Graveyard Hill,Greene,1795,Pioneer Century Farm
Gray Farm,Lincoln,1903,
Gray Farm,Sequatchie,1850,
Gray Farm,Hamblen,1906,
Gray Farms,Obion,1890,
Greaves Farm,Haywood,1803,
Green Acres Farm,Hamblen,1846,
Green Acres Farm,Knox,1803,
Green Hill Farms,Robertson,1904,
Green Place Farm,Moore,1918,
Green View Valley Farm,Hickman,1810,
Greenberry Wilson Farm,Cumberland,1808,
Greenwood Farm,Sumner,1872,
Gregory Farm,Dyer,1890,
Gregory Farms,Knox,1902,
Gregory Farms,Smith,1911,
Gregory Hill,Smith,1842,
Gregson Farms,Henry,1901,
Griffin Farm,Obion,1887,
Griffin-Ketcham Farm,Gibson,1905,
Griffith Place Farm,Meigs,1847,
Griggs Farms LLC,Crockett,1884,
Groom-Saddler Farm,Wilson,1870,
Gumwoods farm,Gibson,1916,
Gunn Farm,Montgomery,1886,
Gwaltney Home Farm,Smith,1810,
H. E. Havercamp Farm,Fayette,1845,
H. F. Anderson Farm,Blount,1873,
H. V. Burns Farm,Blount,1808,
H.E.F. Blair Farm,Loudon,1815,
Haggard Farm,Wayne,1886,
Hailey Hill,Obion,1870,
Hair Brothers Farm,Loudon,1901,
Halbert Acres Farm,Lincoln,1818,
Halbert Farm,Wilson,1913,
Hale Family Farm,Bedford,1910,
Hale's Half Acre Farm,Cannon,1823,
Haley Farm,Wilson,1821,
Haley Farm,Wilson,1834,
Haley-Murphy Farm,Wilson,1821,
Hall Farm,Gibson,1894,
Hall Farms,Washington,1918,
Hall Rockhaven Farm,Sullivan,1882,
Hall-Dinwiddie Farm,Benton,1889,
Hamby Farm,Grundy,1887,
Hamilton Farm,Carroll,1839,
Hammer Farm,Grainger,1872,
Hampton Farms,Obion,1884,
Hancock Farm,Overton,1894,
Hanes Hedges Farm,Macon,1886,
Hanley Franks Place,Hardin,1900,
Hannah Farms,Giles,1885,
Hannah-Dunavant Farm,Giles,1810,
Harder Farm,Perry,1882,
Hardin Farm,Loudon,1907,
Hardy Farm,Wilson,1868,
Hargrove Farm,Montgomery,1799,
